"env_name,mean,iqm,std,seed",minutes
"Assault,2133.98,2180.88,445.01422,7783",
"Assault,2047.26,1995.86,453.6222473218285,7784",
"Assault,1977.31,2013.12,371.49469960786064,8223",
"Alien,855.6,853.4,39.56,8219",
"Alien,1246.8,1230.0,0.0,7779",
"Alien,1036.6,987.6,32.36,7780",
"Amidar,112.52,110.0,0.0,7781",
"Amidar,362.38,377.0,0.0,7782",
"Amidar,241.24,241.0,0.0,8001",
"Asterix,5694.0,5800.0,0.0,8226",
"Asterix,2846.5,2700,0.0,7786",
"Asterix,4206.0,3600.0,0.0,8005",
"BankHeist,267.7,270.0,0.0,8012",
"BankHeist,398.9,400.0,0.0,8231",
"BankHeist,1008.5,1015.4,5.03,8450",
"BattleZone,39850.0,37680.0,2377.10,8233",
"BattleZone,21330.0,22520.0,2032.79,8234",
"BattleZone,16820.0,13800.0,1905.95,8892",234.0
"Boxing,94.9,95.44,1.23,7800",230.0
"Boxing,77.9,78.92,0.27,8022",290.0
"Boxing,96.04,95.62,1.46,8459",225
"None,0.0,0.0,0.0,0",0
